adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/kcXBa2ru0PXcGI8U3JiInsG6FRR.jpg,[18],60243,fa,جدایی نادر از سیمین,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,15.84,/wQVvASmpm8jGhJBQU20OkoMcNzi.jpg,2011-02-15,A Separation,False,7.9,1585
False,/gUIVD0rFWVB8Okk8wU8dQxjOYnZ.jpg,[18],7984,en,In the Name of the Father,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",18.347,/5HaQacOMOjA2wX1XnwnDd2VaXCf.jpg,1993-12-12,In the Name of the Father,False,7.898,1600
False,/sFEYsEfzTx7hhjetlNrme8B5OUo.jpg,"[28, 53, 878]",752,en,V for Vendetta,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",39.652,/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,2006-02-23,V for Vendetta,False,7.897,13680
False,/e4S1jhTMXJRjhG1S8doUW81DH2i.jpg,"[16, 18, 35]",13398,ja,東京ゴッドファーザーズ,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",16.594,/sPC66btzQlzuRdPKiSDYZ5Hvxgc.jpg,2003-12-29,Tokyo Godfathers,False,7.895,1085
False,/rlNnwObbMu5G2FaOUlacnUIdIIA.jpg,"[16, 14, 28, 10770]",726684,fr,"Miraculous World : Shanghai, la légende de Ladydragon","On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",41.816,/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg,2021-05-15,Miraculous World: Shanghai – The Legend of Ladydragon,False,7.9,592
False,/lqxxwTRk0l7CubY6JkJdhnwJEkn.jpg,"[18, 10749]",331482,en,Little Women,Four sisters come of age in America in the aftermath of the Civil War.,37.177,/yn5ihODtZ7ofn8pDYfxCmxh8AXI.jpg,2019-12-25,Little Women,False,7.9,5781
False,/psYeKwKclG4XaIop5suj1J0Kg2C.jpg,"[12, 28, 878]",1892,en,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",35.122,/jQYlydvHm3kUix1f8prMucrplhm.jpg,1983-05-25,Return of the Jedi,False,7.9,14705
False,/eSdl8ANr4BashmiBmcE6eitK74D.jpg,"[9648, 53, 18]",210577,en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",85.96,/lv5xShBIDPe7m4ufdlV0IAc7Avk.jpg,2014-10-01,Gone Girl,False,7.9,17541
False,/7OY9BSM5CYQiHvonQhlQiJGaEnL.jpg,"[16, 14]",32085,en,Vincent,Young Vincent Malloy dreams of being just like Vincent Price and loses himself in macabre daydreams that annoy his mother.,11.298,/jRIFN6WJOeJUInJlzRUEb6E1vkB.jpg,1982-10-01,Vincent,False,7.891,800
False,/ypFD4TJ3nLJesou76V59CnweaT0.jpg,"[18, 10752, 36]",715931,en,Emancipation,"Inspired by the gripping true story of a man who would do anything for his family—and for freedom. When Peter, an enslaved man, risks his life to escape and return to his family, he embarks on a perilous journey of love and endurance.",38.811,/s9sUK1vAaOcxJfKzNTszrNkPhkH.jpg,2022-12-02,Emancipation,False,7.889,968
False,/rcUcYzGGicDvhDs58uM44tJKB9F.jpg,"[16, 10751, 14, 28, 12]",527774,en,Raya and the Last Dragon,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",103.159,/lPsD10PP4rgUGiGR4CCXA6iY0QQ.jpg,2021-03-03,Raya and the Last Dragon,False,7.887,6341
False,/gXSpNiP9a5uq0mo1hcfp2PVUsOV.jpg,"[28, 878, 16]",503314,ja,ドラゴンボール超スーパー ブロリー,"Earth is peaceful following the Tournament of Power. Realizing that the universes still hold many more strong people yet to see, Goku spends all his days training to reach even greater heights. Then one day, Goku and Vegeta are faced by a Saiyan called 'Broly' who they've never seen before. The Saiyans were supposed to have been almost completely wiped out in the destruction of Planet Vegeta, so what's this one doing on Earth? This encounter between the three Saiyans who have followed completely different destinies turns into a stupendous battle, with even Frieza (back from Hell) getting caught up in the mix.",17.35,/f03YksE4NggUjG75toz4H1YAGRf.jpg,2018-12-14,Dragon Ball Super: Broly,False,7.887,2739
False,/xHGTnvmrNaDLyysdvqOGKAcaNpQ.jpg,"[16, 35, 878, 10770, 12, 28]",354857,en,Regular Show: The Movie,"After a high school lab experiment goes horribly wrong, and accidentally creating a Timenado, the universe is on the verge of being destroyed and it’s up to Mordecai and Rigby to go back in time and make the things right, battle an evil volleyball coach in order to save the universe — and their friendship.",15.212,/p44RoW4naoE1nlSGOqqT0J2pc09.jpg,2015-09-01,Regular Show: The Movie,False,7.887,340
